Word	Frequency
案件	2
號碼	3
為	6
被告	6
姓名	2
性別	1
男	1
年	6
歲	1
生日	1
在	6
台	1
郵	1
寄	1
地址	1
台北市	2
大安	2
區泰順	1
街	1
巷	2
號	3
護照	1
上述	1
被控	1
偷竊	1
一罪	1
經調查	1
程序	1
結束	1
後	6
其	2
罪名	1
成立	1
且	1
公訴	1
罪	1
其罪	1
證事	1
實及	1
所犯	1
條款	1
所列	1
如下	2
罪證	1
事實	1
於	8
月	6
日	5
下午	1
時	7
一家	1
位	1
中山	1
區長	1
安東路	1
一段	1
號的	1
全家	1
便利商店	1
中	1
趁店	1
長	1
康豪	2
不	1
注意	1
徒手	1
竊取	2
一罐	1
價格	3
約	3
元台幣	1
一瓶	1
元	2
的	2
紅酒	1
兩瓶	1
愛爾蘭	1
奶酒	1
不法	1
據	1
為己	1
有	1
意欲	1
販賣	1
這些	1
品項	1
將其	1
藏入	1
外套	1
及	1
褲子	1
口袋	1
逕	1
行	1
離	1
開	1
該	1
店	1
沒有	1
結帳	1
店長	1
發現	1
以上	2
情事	1
追出	1
店外	1
將	1
制倒	1
地	1
並報警	1
細節	1
經查	1
證屬實	1
臺	8
灣	2
北	3
地方法院	2
刑事	1
判決	3
年度	1
交簡上	1
字	1
第	1
被	1
告	1
中文	1
葛凡毅	1
上	1
列	1
之	4
公共	2
危險	2
本院	1
主	1
文	1
緩刑	1
貳	1
並應	1
判決確	1
定日	1
翌日	1
起	2
參個	1
內	2
向	1
公庫	1
支付	1
新	1
幣參萬元	1
另應	1
緩	1
刑期	1
內向	1
檢察官	2
指定	1
政府	2
機關	1
機構	1
行政法	1
人	1
社區	1
或	2
其他	1
符合	1
公益	1
目的	1
之機構	1
團體	1
提供	1
肆拾	1
小時	1
之義務	1
勞務	1
事	1
實	1
一	1
自民國	1
晚間	1
分許	1
至	2
同年	1
凌晨	4
許止	1
北市	2
信義區	2
起司	1
餐廳	1
與	1
友人	1
飲用	1
啤酒	1
瓶	1
竟基	1
犯意	1
分前	1
某	1
時許	1
自該	1
處	1
駕駛	1
所有	1
車牌	1
自小	1
客車	1
上路	1
嗣	1
分	1
松仁	1
路	1
號前	1
為警	1
攔查	1
並	1
同日	1
分經	1
檢測	1
其吐氣	1
所	1
含酒精	1
濃度	1
達	1
每	1
公升	1
毫克	1
始悉	1
上情	1
二	1
案經	1
市政府	1
警察局	1
分局	1
報告	1
檢察署	1
偵查	1
聲請	1
簡易	1
處刑	1
