Word	Frequency
""""	3
案件	2
號碼	3
為	4
" 2784
"	1
被告	5
姓名為	1
" William Lavings 
"	1
性別	1
：	8
"男
"	1
年歲	1
"：50
"	1
生日	1
8/22	1
/	1
1961	1
" 
"	1
在	6
台	1
郵寄	1
地址	1
台北市	2
大安區	1
泰順街	1
26巷	1
36號	1
護照	1
B	1
"0554122
"	1
上述	1
被	2
控	1
偷竊	1
一	5
罪	1
。	9
經	4
調查	1
(	9
程序	1
結束	1
)	9
後	6
，	25
其	5
罪名	1
成立	1
且	1
公訴罪	1
罪證	2
事實	2
及	2
所	3
犯	1
條款	1
列	1
如下	1
William Lavings	1
於	6
105年	1
1月	1
14日	1
下午	1
1:03	1
時	4
家	1
位於	1
中山區	1
長安東路	1
一段	1
55號	1
的	3
全家	1
便利商店	1
中	1
趁	1
店長	2
康豪	2
不	1
注意	1
徒手	1
竊取	2
罐	1
Columbo 	1
Beer 	1
價格	3
約為	2
79	1
元	4
台幣	1
、	10
瓶	2
99	1
Gallo 	1
紅酒	1
兩	1
約	1
398	1
Bailey’s 	1
愛爾蘭	1
奶酒	1
不法	1
據為己有	1
意欲	1
販賣	1
這些	1
品項	1
將	2
藏入	1
外套	1
褲子	1
口袋	1
逕行	1
離開	1
該	2
店	2
沒有	1
結帳	1
發現	1
以上	2
情事	1
追出	1
外	1
被告制	1
倒	1
地	1
並	3
報警	1
細節	1
查證	1
屬實	1
"""
"	1
臺灣	2
臺北	2
地方	2
法院	2
刑事	1
判決	4
104年度	1
交簡	1
上	1
字	1
第311	1
"號
"	1
 告	1
 Kovalio	1
,	1
 Micky	1
（	1
中文	1
姓名	1
葛凡毅	1
）	1
上列	1
之	6
公共	2
危險	2
offense against public safety	1
本	1
院	1
如	1
下	1
主	1
  文	1
" Main Text
"	1
Kovalio 	3
Micky 	1
緩刑	1
貳年	1
應	2
確定	1
日	2
翌日	1
起	2
參	1
個	1
月	2
內	3
向	2
公庫	1
支付	1
新臺幣	1
參萬	1
另	1
緩刑期	1
檢察官	2
指定	1
政府	3
機關	1
government	1
 organization	1
機構	2
government agency	1
行政	1
法人	1
Administrative	1
 institutions	1
社區	1
或	2
其他	1
符合	1
公益	1
目的	1
團體	1
non-profit organization	1
提供	1
肆拾	1
小時	1
義務	1
勞務	1
事	1
  	1
實	1
" Facts
"	1
Micky	2
自	2
民國	1
104年	2
2月	3
12日	1
晚間	1
11時	1
30分	1
許	2
至	2
同	2
年	1
13日	3
凌晨	4
1 	1
許止	1
臺北市	3
信義區	2
「	1
起司	1
PUB	1
」	1
餐廳	1
與	1
友人	1
飲用	1
啤酒	1
2 	1
3 瓶	1
竟	1
基於	1
犯意	1
104 年	1
1 時	3
23分	2
前	2
某	1
處	1
駕駛	1
所有	1
車牌	1
KB-9999 號	1
自小客車	1
上路	1
。嗣	1
松仁路	1
5巷	1
438號	1
警	1
攔查	1
43分	1
檢測	1
吐氣	1
含	1
酒精	1
濃度	1
達	1
每	1
公升	1
0.28	1
毫克	1
始	1
悉	1
上情	1
二	1
案	1
警察局	1
Taipei 	1
City 	1
Police 	1
Department	1
大安	1
分局	1
報告	1
檢察署	1
偵查	1
聲請	1
apply for	1
簡易	1
summary	1
 judgment	1
處刑	1
