Word	Type	Frequency
paul	C	1
anderson	C	1
ac44432189	C	1
no	F	41
ho	C	1
ping	C	1
east	C	3
road	C	8
section	C	6
taipei	C	10
city	C	9
yes	C	56
i	F	345
understand	C	19
was	F	92
at	F	24
yingge	C	1
ceramics	C	1
museum	C	4
when	F	26
put	C	4
the	F	221
umbrella	C	12
back	C	12
to	F	202
rack	C	2
ms	C	3
chen	C	3
there	F	17
she	F	52
yelled	C	1
me	F	72
saying	C	1
that	F	111
stole	C	1
her	F	35
tried	C	16
tell	C	4
must	C	3
have	F	47
taken	C	2
wrong	C	3
one	C	10
did	F	13
not	F	38
steal	C	4
apologize	C	5
but	F	31
wouldn	F	8
t	F	68
listen	C	2
on	F	24
day	C	10
some	F	26
classmates	C	5
and	F	87
visited	C	1
for	F	62
an	F	12
exhibition	C	1
we	F	36
finished	C	5
viewing	C	1
exhibited	C	1
items	C	1
two	C	16
of	F	67
my	F	137
said	C	16
they	F	8
were	F	20
hungry	C	1
therefore	C	5
decided	C	5
go	C	10
out	F	7
buy	C	2
food	C	1
perhaps	C	3
even	C	13
try	C	4
find	C	3
a	F	74
place	C	5
dinner	C	1
leaving	C	3
realized	C	2
it	F	47
raining	C	2
didn	F	30
bring	C	11
so	F	17
planned	C	3
borrow	C	3
from	F	24
because	F	11
am	F	13
bit	C	5
tall	C	1
big	C	4
adam	C	2
friend	C	11
mine	C	4
his	F	17
body	C	2
shape	C	1
is	F	45
similar	C	2
then	F	6
took	C	8
went	C	7
bread	C	1
with	F	24
professor	C	4
other	F	12
friends	C	11
came	C	8
s	F	29
started	C	3
yell	C	1
thought	C	2
belonged	C	1
intend	C	1
anyone	C	2
only	F	18
remember	C	8
color	C	2
blue	C	2
brand	C	1
new	C	6
in	F	62
recollection	C	1
offered	C	3
lend	C	1
since	C	2
quite	C	2
small	C	4
take	C	8
want	C	16
get	C	11
wet	C	1
too	F	13
guess	C	1
return	C	4
either	C	2
will	F	12
be	F	19
able	C	2
prove	C	4
what	F	14
today	C	3
truth	C	1
here	F	4
abus	C	1
gashion	C	1
april	C	1
ac442313488	C	1
cks	C	1
international	C	1
airport	C	2
pick	C	2
up	F	9
who	F	7
taiwan	C	18
visit	C	1
bus	C	1
got	C	6
early	C	1
waited	C	1
waiting	C	1
flight	C	2
delayed	C	1
bored	C	1
around	C	4
kill	C	1
time	C	30
parking	C	4
lot	C	3
motorcycles	C	3
saw	C	4
cap	C	5
left	C	3
motorcycle	C	10
sorry	C	4
owner	C	6
brought	C	2
happened	C	7
he	F	42
talk	C	1
thank	C	1
you	F	6
ferry	C	1
johnson	C	1
rc087828118	C	1
ac204891874	C	1
fl	C	2
te	C	1
hsin	C	1
shih	C	1
lin	C	2
district	C	5
also	C	12
lawyer	C	3
hope	C	5
granted	C	1
sole	C	2
custody	C	2
daughter	C	10
concerns	C	6
first	C	12
wife	C	17
longer	C	1
lives	C	1
us	C	9
see	C	3
grow	C	1
moreover	C	1
heard	C	4
living	C	1
another	C	4
man	C	1
if	F	17
case	C	7
doubt	C	2
very	F	20
much	C	7
can	F	17
give	C	3
our	F	15
best	C	7
care	C	8
deserves	C	1
those	F	10
are	F	6
main	C	2
true	C	8
don	F	22
currently	C	3
hold	C	3
full	C	2
job	C	4
however	C	3
several	C	2
part	C	4
jobs	C	2
which	F	2
regular	C	1
income	C	3
believe	C	5
sufficient	C	1
myself	F	7
average	C	1
four	C	1
five	C	2
as	F	19
total	C	1
about	F	15
nt	C	3
per	C	1
month	C	1
sometimes	C	3
projects	C	1
may	C	4
more	F	9
stayed	C	1
years	C	1
already	C	3
arc	C	3
like	C	9
this	F	28
far	C	1
any	F	12
plan	C	3
leave	C	1
especially	C	2
should	F	10
opportunity	C	1
both	F	1
parents	C	2
emphasize	C	2
although	C	1
seeking	C	1
divorce	C	4
intention	C	2
cutting	C	1
tie	C	1
between	F	9
during	F	1
entire	C	1
period	C	2
regularly	C	2
sent	C	5
pictures	C	1
arranged	C	1
outings	C	1
encourage	C	1
spend	C	1
canada	C	1
mother	C	5
old	C	2
sick	C	1
stay	C	4
long	C	2
won	F	4
consider	C	4
possibility	C	2
taking	C	1
personally	C	2
do	F	12
favor	C	1
arrangement	C	1
still	C	9
months	C	2
through	F	3
changes	C	1
child	C	1
such	F	1
young	C	1
age	C	1
confusing	C	1
has	F	15
parent	C	1
fine	C	1
social	C	1
workers	C	1
visits	C	2
julio	C	1
johansen	C	1
fc3114425	C	1
your	F	3
mailing	C	1
address	C	1
jingping	C	1
rd	C	1
zhonghe	C	1
dist	C	1
plead	C	3
guilty	C	5
departed	C	1
bangkok	C	8
thailand	C	2
number	C	3
plane	C	3
six	C	1
thirty	C	1
carry	C	2
know	C	23
few	F	1
maybe	C	3
name	C	5
guy	C	6
gave	C	11
bag	C	10
kent	C	10
met	C	4
him	F	17
hired	C	1
work	C	7
computer	C	1
engineer	C	1
ball	C	1
kfc	C	3
earlier	C	1
march	C	2
think	C	11
real	C	1
last	C	3
asked	C	12
meet	C	3
told	C	12
would	C	18
pay	C	3
thousand	C	2
dollars	C	2
just	F	21
make	C	3
little	C	2
money	C	5
easy	C	1
need	C	2
golf	C	2
into	F	5
nothing	C	1
else	C	1
designated	C	2
hotel	C	2
someone	C	5
call	C	4
cell	C	8
phone	C	16
had	F	8
given	C	1
nokia	C	1
own	F	8
mobile	C	4
sim	C	1
card	C	1
before	F	5
addition	C	2
cover	C	1
restaurant	C	1
bills	C	2
meals	C	2
contact	C	4
people	C	5
bags	C	1
going	C	5
figured	C	1
paying	C	1
learned	C	1
come	C	3
really	C	8
heroin	C	2
hidden	C	2
inside	C	1
club	C	1
extra	C	1
busy	C	1
wanted	C	6
help	C	16
gold	C	5
cheaper	C	1
illegal	C	1
deal	C	3
sealed	C	1
open	C	3
become	C	1
mates	C	1
later	C	1
good	C	7
lie	C	1
yeah	C	1
why	F	11
trust	C	1
m	F	2
knew	C	3
please	C	1
forgive	C	1
all	F	13
family	C	3
or	F	13
kids	C	1
england	C	1
worried	C	5
supposed	C	1
end	C	2
december	C	3
john	C	1
anderston	C	1
kb281849281	C	1
ad828918482	C	1
jin	C	1
hua	C	1
street	C	1
da	C	1
course	C	9
message	C	9
well	C	4
colleague	C	12
days	C	4
off	F	2
concerned	C	2
educated	C	2
minded	C	2
way	C	6
talked	C	3
expressed	C	3
herself	F	2
love	C	4
common	C	2
expression	C	2
each	F	3
partners	C	2
away	C	5
naturally	C	4
missed	C	2
context	C	2
wrote	C	2
how	F	11
express	C	2
chinese	C	17
sentence	C	8
assignment	C	2
informed	C	3
court	C	9
attending	C	2
master	C	2
program	C	20
required	C	4
complete	C	6
credits	C	2
could	C	7
receive	C	2
degree	C	6
needed	C	6
assignments	C	11
exercises	C	2
tesol	C	2
courses	C	6
related	C	6
english	C	9
teaching	C	8
others	C	6
culture	C	6
language	C	7
competence	C	4
least	C	3
three	C	2
communication	C	6
different	C	2
every	C	3
student	C	2
example	C	3
seek	C	2
position	C	2
teacher	C	2
reach	C	3
goal	C	2
show	C	2
command	C	2
many	C	3
translation	C	2
sharpen	C	2
speaking	C	2
writing	C	2
skills	C	2
sentences	C	2
say	C	4
them	F	4
words	C	2
difficult	C	4
foreigners	C	6
recognize	C	2
translate	C	2
answer	C	6
homework	C	2
these	F	4
messages	C	3
same	F	2
purpose	C	2
completing	C	2
thinks	C	2
matter	C	4
satisfied	C	2
ability	C	8
supporting	C	2
beginning	C	4
study	C	4
never	C	6
shown	C	2
support	C	2
willing	C	2
been	F	8
supportive	C	6
blamed	C	2
misunderstanding	C	2
marriage	C	3
problem	C	3
employment	C	2
portuguese	C	2
stable	C	2
hours	C	3
became	C	4
issue	C	6
fought	C	2
over	F	2
let	C	4
frustration	C	2
situation	C	2
faced	C	2
spring	C	2
year	C	2
finish	C	4
working	C	10
enough	C	3
felt	C	2
pursuing	C	2
alone	C	2
by	F	6
tired	C	3
frustrated	C	2
couldn	F	2
requirement	C	2
semester	C	2
registration	C	2
fall	C	2
might	C	2
doesn	F	2
mean	C	3
improve	C	6
failed	C	3
continued	C	2
tutor	C	2
declined	C	2
using	C	2
learn	C	4
team	C	2
cannot	C	4
evidence	C	3
investigate	C	2
behalf	C	2
reason	C	4
simple	C	2
continue	C	2
eric	C	1
hamilton	C	1
rx011828913	C	1
ac283485522	C	1
floor	C	6
chengyi	C	1
north	C	1
sanchung	C	1
henry	C	1
wang	C	1
bc13458112	C	1
ac25849367	C	1
chunghsiao	C	1
foreign	C	12
land	C	8
forum	C	1
popular	C	1
among	C	1
registered	C	2
member	C	1
means	C	1
read	C	2
posts	C	1
post	C	3
articles	C	4
postings	C	3
share	C	1
vent	C	1
feelings	C	1
seems	C	1
posting	C	5
posted	C	4
ago	C	1
sure	C	2
article	C	1
its	F	1
entirety	C	1
copy	C	2
questions	C	13
regarding	C	2
winwin	C	11
company	C	10
treated	C	2
used	C	2
mention	C	1
issues	C	2
worked	C	1
experiences	C	2
result	C	1
question	C	5
format	C	2
meaning	C	1
basic	C	1
salary	C	1
benefits	C	1
application	C	1
forward	C	2
respond	C	1
details	C	2
members	C	1
quote	C	1
accusations	C	1
instead	C	3
comments	C	4
hoping	C	2
provide	C	2
sort	C	1
clarifications	C	2
community	C	2
ideas	C	1
against	F	2
does	F	1
employees	C	1
apply	C	1
legal	C	1
permit	C	1
legally	C	1
explanations	C	1
responding	C	1
directly	C	2
chose	C	1
file	C	1
lawsuit	C	2
stated	C	1
recall	C	1
exactly	C	2
eight	C	2
ten	C	1
began	C	1
administrator	C	1
delete	C	1
avoid	C	2
trouble	C	1
correct	C	2
towards	C	1
request	C	3
asking	C	3
stop	C	4
their	F	3
immediately	C	1
again	F	1
defame	C	1
series	C	1
possibly	C	1
constitute	C	1
defamation	C	1
attention	C	1
active	C	1
kind	C	1
forums	C	1
malicious	C	1
until	F	1
made	C	2
force	C	1
readers	C	1
wonder	C	1
facts	C	1
implied	C	1
defendant	C	3
damage	C	1
done	C	1
caused	C	1
suspicion	C	1
circle	C	2
form	C	1
rumors	C	1
travel	C	1
fast	C	1
labor	C	1
bureau	C	2
paid	C	1
trying	C	1
involved	C	1
matters	C	1
representatives	C	1
anything	C	2
hiring	C	1
practice	C	1
previously	C	1
conclusion	C	1
settling	C	2
things	C	1
formally	C	1
inappropriate	C	1
second	C	5
names	C	2
clear	C	1
terms	C	1
internet	C	1
crime	C	1
agree	C	1
settle	C	1
term	C	1
obtaining	C	1
right	C	3
making	C	1
apology	C	2
thing	C	1
jeopardize	C	1
sake	C	1
suffer	C	1
potential	C	1
harm	C	1
honor	C	1
comes	C	1
ask	C	1
scott	C	1
lim	C	1
bc081041895	C	1
ac18920146	C	1
san	C	1
shu	C	2
rainy	C	1
hard	C	1
hurry	C	2
home	C	5
motorbike	C	13
original	C	1
country	C	1
terrible	C	1
mistake	C	1
convenience	C	1
store	C	1
forgotten	C	1
key	C	2
use	C	1
briefly	C	1
soon	C	1
ignition	C	1
rode	C	2
after	F	5
bike	C	2
ride	C	1
apartment	C	2
bed	C	1
thinking	C	1
next	C	2
totally	C	1
forgot	C	1
landlord	C	1
whose	C	1
feel	C	2
comfortable	C	1
having	F	1
parked	C	2
front	C	1
building	C	1
moved	C	2
returned	C	1
trip	C	1
police	C	3
agreed	C	1
offer	C	1
reached	C	1
agreement	C	1
amount	C	1
accepted	C	1
shop	C	1
check	C	2
damaged	C	1
tune	C	1
signed	C	1
settlement	C	1
letter	C	1
now	F	2
explain	C	1
meant	C	1
edward	C	1
takayashi	C	1
xp82891116	C	1
ac28329123	C	1
19th	C	1
ren	C	1
ai	C	1
whole	C	1
steven	C	1
knox	C	1
kjb44075223	C	1
a201441239	C	1
changjiang	C	1
banqiao	C	1
basically	C	2
argued	C	1
lived	C	1
plaintiff	C	3
than	F	2
once	F	1
move	C	2
without	C	1
idea	C	2
everyone	C	1
neighborhood	C	2
park	C	3
vehicle	C	1
available	C	1
space	C	1
quarrels	C	1
always	C	1
confrontation	C	2
mind	C	3
removal	C	1
times	C	1
pretend	C	1
happen	C	2
filed	C	1
cases	C	1
neighbors	C	1
empty	C	2
spot	C	2
serve	C	1
basis	C	1
government	C	1
marked	C	1
spaces	C	1
picture	C	1
slots	C	1
moving	C	2
upstairs	C	1
rushed	C	1
down	F	2
tolerating	C	1
anymore	C	2
night	C	1
downstairs	C	3
placed	C	1
hands	C	3
handlebars	C	5
doing	F	2
step	C	1
push	C	3
statements	C	1
station	C	1
incident	C	1
grabbed	C	1
tightly	C	1
ended	C	1
pushing	C	1
shoulder	C	2
loosen	C	1
grab	C	2
pushed	C	1
gentle	C	1
generally	C	1
something	C	1
bruises	C	1
injuries	C	1
occurred	C	1
girlfriend	C	1
evening	C	1
aware	C	1
history	C	1
neighbor	C	1
middle	C	1
intended	C	1
film	C	1
clip	C	1
arrived	C	1
scene	C	1
warned	C	1
look	C	1
clips	C	2
cctv	C	1
cameras	C	1
40pm	C	1
examine	C	1
30pm	C	1
10pm	C	1
tim	C	1
lawrence	C	1
qz811929043	C	1
ac028412357	C	1
5th	C	1
jinshan	C	1
south	C	1
looking	C	2
ll	F	2
representing	C	1
wants	C	2
mentioned	C	2
couple	C	1
admit	C	1
fights	C	1
law	C	2
live	C	1
respect	C	1
value	C	1
showing	C	1
concern	C	1
actually	C	1
physically	C	1
mentally	C	1
unhealthy	C	1
doctors	C	1
diagnosed	C	1
mental	C	1
illness	C	2
depression	C	1
fact	C	1
found	C	1
doctor	C	4
spiritual	C	1
field	C	1
finding	C	1
near	C	1
under	F	1
great	C	1
pressure	C	1
easily	C	1
angry	C	1
clinic	C	1
often	C	1
psychiatrist	C	1
diagnose	C	1
condition	C	1
children	C	1
counselor	C	1
scold	C	1
ex	C	3
boyfriend	C	3
badly	C	1
interested	C	1
kept	C	1
seeing	C	1
married	C	1
marital	C	1
problems	C	1
affect	C	1
viewed	C	1
thanks	C	1
